0.0	0.111281	23.0829
0.025	2.86328	19.1599
0.05	4.67678	14.3634
0.075	5.67549	8.57967
0.1	6.33294	2.19187
0.125	4.69014	4.53464
0.15	2.98538	12.3693
0.175	1.51015	23.1028
0.2	0.408752	34.5585
0.225	1.05454	46.9057
0.25	2.83977	60.6393
0.275	4.29956	75.1591
0.3	5.93087	89.4484
0.325	7.16368	106.412
0.35	8.70631	123.944
0.375	10.9108	144.882
0.4	12.8201	163.951
0.425	13.9869	182.221
0.45	14.7814	197.127
0.475	14.8199	212.197
0.5	14.6213	223.638
0.525	14.1178	237.471
0.55	14.9863	259.007
0.575	14.608	279.37
0.6	14.8248	310.474
0.625	14.4664	344.441
0.65	13.9398	381.263
0.675	11.5164	437.399
0.7	10.5485	522.948
0.725	8.57794	657.491
0.75	3.56505	916.587
0.775	2.45837	1502.82
0.8	11.1504	3607.43
0.825	24.2413	25594.4
0.85	40.6809	873160
0.875	65.1784	2.13662e+07
0.9	98.0411	7.63338e+07
0.925	141.572	9.18021e+07
0.95	125.076	6.66566e+07
0.975	100	100
