# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 3.882208883911269389e-06 1.095383905628708909e+01 2.503764368649785688e-02 2.502581514456592160e-02 9.288333960448709459e-05 4.373945186364578026e-05 3.782405893252344751e-06 1.089550501827355689e+01 2.503764368649785688e-02 2.502581514456592160e-02 9.288336870831798500e-05 4.373942858058106793e-05
1.000000000000000000e+03 5.685287311906254780e-07 2.507183045048440306e-02 8.973351254662143006e-02 3.665596301341000895e-02 1.467205419647774067e-03 4.722401570117495950e-03 4.324415056893882372e-07 2.506317483446140332e-02 8.973351254662143006e-02 3.665596301341000895e-02 1.467205419647774067e-03 4.722401570117495950e-03
2.000000000000000000e+03 1.031313838962949481e-02 9.285735179358269378e-03 1.804128465117937896e-02 1.136731671344215489e-02 3.627112946038885295e-05 7.249069857397224745e-05 1.035077130449186741e-02 9.017201409366102510e-03 1.804128465117937896e-02 1.136732043873250886e-02 3.627095774778659951e-05 7.249121662216209683e-05
2.000000000000000000e+03 1.031313838962949481e-02 9.285735179358269378e-03 1.804128465117937896e-02 1.136731671344215489e-02 3.627112946038885295e-05 7.249069857397224745e-05 1.035077130449186741e-02 9.017201409366102510e-03 1.804128465117937896e-02 1.136732043873250886e-02 3.627095774778659951e-05 7.249121662216209683e-05
3.000000000000000000e+03 9.767976186335335445e-03 4.179426980499570399e-03 8.516603835174496595e-03 2.366128226609948149e-03 1.828064878237468764e-05 1.908149307622004735e-05 8.461360118513793632e-03 3.198711239502047884e-03 8.516603835174496595e-03 2.366128226609948149e-03 1.828065896871549929e-05 1.908159639481970832e-05
4.000000000000000000e+03 9.942842647704338427e-03 2.662024167300960659e-03 7.150006400793884609e-03 1.313056536958463749e-03 9.960626778770262455e-06 3.931407686115728729e-06 8.797694537450127805e-03 1.671820202536027740e-03 7.150009381026167787e-03 1.313057933942346489e-03 9.958479643646322120e-06 3.930270453923685780e-06
5.000000000000000000e+03 9.962598887859767938e-03 2.186839061230274640e-03 6.764708560179300001e-03 8.780660238573850807e-04 4.545489786754209087e-06 3.617622380053148110e-08 9.112502970232838270e-03 1.435574043988793302e-03 6.764705579947016822e-03 8.780660238573850807e-04 4.546542254038783704e-06 3.617308888593459367e-08
6.000000000000000000e+03 9.944921405958991045e-03 1.925563076873415980e-03 6.543297418107052454e-03 6.564143677266591481e-04 1.446528352698733377e-05 2.447221268171481516e-06 9.231182282826974617e-03 1.401019244289695119e-03 6.543297418107052454e-03 6.564143677266591481e-04 1.446529225813660089e-05 2.447199076500427574e-06
7.000000000000000000e+03 9.941774319187754796e-03 1.800437887261378952e-03 6.381408220252515751e-03 5.459278437633489911e-04 1.137945090380610130e-05 6.239217420646433945e-07 9.279652587984537140e-03 1.396183128178956874e-03 6.381408220252515751e-03 5.459278437633489911e-04 1.137949819753129822e-05 6.239115102490959831e-07
7.000000000000000000e+03 9.941774171043775421e-02 1.800437860432764145e-02 6.381408125162124634e-02 5.459278356283903122e-03 1.137945073423907161e-04 6.239217327674850821e-06 9.279652449706940476e-02 1.396183107374207241e-02 6.381408125162124634e-02 5.459278356283903122e-03 1.137949802796356380e-04 6.239115009520901367e-06
