0.0   1 0.769152
0.025   0.996966 0.771467
0.05   0.987988 0.778415
0.075   0.973314 0.790001
0.1   0.956584 0.802225
0.125   0.920156 0.812279
0.15   0.884426 0.825658
0.175   0.851746 0.853759
0.2   0.823041 0.879184
0.225   0.79208 0.902458
0.25   0.759266 0.925724
0.275   0.72962 0.944537
0.3   0.699185 0.953325
0.325   0.672127 0.966383
0.35   0.643175 0.972316
0.375   0.610056 0.982522
0.4   0.579487 0.974855
0.425   0.554129 0.955365
0.45   0.531162 0.917469
0.475   0.51259 0.87452
0.5   0.494825 0.817273
0.525   0.477977 0.762696
0.55   0.452775 0.719996
0.575   0.433402 0.668393
0.6   0.409907 0.627704
0.625   0.38793 0.581267
0.65   0.365083 0.528414
0.675   0.347794 0.48346
0.7   0.321875 0.444008
0.725   0.296534 0.406934
0.75   0.276456 0.379114
0.775   0.253194 0.353011
0.8   0.228946 0.321802
0.825   0.203641 0.286244
0.85   0.17324 0.244573
0.875   0.141264 0.212818
0.9   0.106324 0.16458
0.925   0.0710404 0.110517
0.95   0.0357043 0.0578228
0.975   0 0
