0.0 1.0
0.025 0.9979249500367049
0.05 0.9917256167378867
0.075 0.9814790424468902
0.1 0.9673122782676493
0.125 0.9494003733732177
0.15 0.9279635969457432
0.175 0.9032639293888911
0.2 0.875600869538212
0.225 0.8453066143859307
0.25 0.8127406772627555
0.275 0.7782840194050848
0.3 0.7423327783005478
0.325 0.7052916840603338
0.35 0.6675672622164096
0.375 0.6295609276768666
0.4 0.5916620799692529
0.425 0.554241314214978
0.45 0.5176438653348058
0.475 0.4821834045740666
0.5 0.4481363072891902
0.525 0.4157365087070601
0.55 0.3851710595888602
0.575 0.3565764857520809
0.6 0.3300360432941177
0.625 0.3055779437223083
0.65 0.28317459785984167
0.675 0.26274289085977093
0.7 0.2441454470132884
0.725 0.22719276187502546
0.75 0.21164595130113448
0.775 0.1972196547654216
0.8 0.18358425599999995
0.825 0.1703658747100307
0.85 0.1571411210270915
0.875 0.14342027034892935
0.9 0.1286038908588818
0.925 0.11187156283935511
0.95 0.09185812419668751
0.975 0.06535530292674958
